area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2,1,39.07,1249.45
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,2600,5,3,120,3901.43
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2,3,62,1678.39
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3,1,95,3197.32
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2,1,51,2312.04
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2,1,38,987.19
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4,2,204,869.7
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4,2,600,733.09
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3,1,63.25,1521.34
Plot  Area,Ready To Move,Gandhi Bazar,6 BHK,1020,6,2,370,3416.15
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2,2,70,824.7
Plot  Area,Ready To Move,Whitefield,4 BHK,2785,5,3,295,1963.89
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,38,3664.89
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2,2,40,1054.81
Plot  Area,Ready To Move,Sarjapur,3 BHK,2250,3,2,148,1018.19
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2,2,73.5,1020.09
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3,2,48,2608.48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3,3,60,3049.51
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4,2,290,2863.89
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2,2,48,1149.47
Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1,1,15,1534.22
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755,3,1,122,2278.99
Plot  Area,Ready To Move,Thanisandra,4 BHK,2800,5,2,380,1150.57
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3,1,103,1239.63
Super built-up  Area,18-Nov,Thanisandra,1 RK,510,1,0,25.25,1347.28
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250,3,2,56,3570.35
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1,1,23.1,1039.61
Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3,2,81,1417.08
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151,2,2,48.77,3184.83
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2,1,47,855.74
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475,4,0,186,1529.05
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,35,2341.05
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2,2,123,878.06
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39,3897.77
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3,2,125,1958.76
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2,1,36,1770.08
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2,1,45.5,1165.54
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,2,125,2195.34
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2,56.12,3368.47
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2,2,45,1328.18
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2,2,81,2244.08
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3,2,38,1394.21
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1,0,38,2068.78
Plot  Area,Ready To Move,Yelahanka,1 BHK,660,1,0,48,1891.18
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2,2,91.79,1110.54
Plot  Area,Ready To Move,HSR Layout,8 BHK,600,9,2,200,1595.03
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0,33,2623.42
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2,1,94.82,1424.08
Plot  Area,Ready To Move,KR Puram,2 BHK,800,1,1,130,1456.05
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2,1,36,2369.71
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1,50,3939.17
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3,1,99,3550.27
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2,91,1927.4
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2,2,75,3789.65
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2,3,75,1517.48
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,44,1906.25
Built-up  Area,20-Feb,Devanahalli,4 BHK,3210,2,2,192,4265.48
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2,2,185,2391.97
Plot  Area,Ready To Move,Murugeshpalya,6 BHK,1407,4,1,150,2090.45
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2,2,45,2650.66
Plot  Area,Ready To Move,Tharabanahalli,3 BHK,4395,3,2,240,5166.03
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2,1,55,2542.7
Plot  Area,Ready To Move,Whitefield,4 BHK,5700,5,3,650,1794.49
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2,2,44,2713.51
Built-up  Area,Ready To Move,Bommanahalli,8 BHK,3000,8,0,140,1137.12
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1,62,3085.39
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2,3,43,2281.85
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1,57,1762.64
Plot  Area,Ready To Move,Devarachikkanahalli,8 BHK,1350,7,0,85,2149.1
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2,1,36.68,1984.26
Plot  Area,Ready To Move,Double Road,3 BHK,500,3,2,100,8405.71
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2,1,80.58,1038.46
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3,1,101,3038.65
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2,1,70,1778.55
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3,2,140,7948
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2,1,48.23,8103.05
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2,3,40,8398.89
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3,3,205,3518.31
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1,0,22,5509.26
Built-up  Area,Ready To Move,ISRO Layout,6 BHK,4400,6,3,250,3811.08
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2,2,105,9041.72
Built-up  Area,18-Oct,Hennur Road,4 BHK,3203.5,2,2,224.5,7363.09
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2,2,78,1197.08
