area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,1249.45
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,3901.43
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,1678.39
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,3197.32
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200.0,2.0,1.0,51.0,2312.04
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,987.19
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732.0,4.0,2.0,204.0,869.7
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300.0,4.0,2.0,600.0,733.09
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,1521.34
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020.0,6.0,2.0,370.0,3416.15
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0,824.7
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,1963.89
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,3664.89
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,2.0,40.0,1054.81
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,1018.19
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,1020.09
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,2608.48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,3049.51
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0,2863.89
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0,1149.47
Built-up  Area,Ready To Move,Kengeri,1 BHK,600.0,1.0,1.0,15.0,1534.22
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,2278.99
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,1150.57
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,1.0,103.0,1239.63
Super built-up  Area,18-Nov,Thanisandra,1 RK,510.0,1.0,0.0,25.25,1347.28
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0,3570.35
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1,1039.61
Built-up  Area,20-Dec,Whitefield,3 BHK,1610.0,3.0,2.0,81.0,1417.08
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,3184.83
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,855.74
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475.0,4.0,0.0,186.0,1529.05
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,2341.05
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,878.06
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3897.77
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925.0,3.0,2.0,125.0,1958.76
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0,1770.08
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,1165.54
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,2195.34
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3368.47
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,1328.18
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296.0,2.0,2.0,81.0,2244.08
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,1394.21
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,2068.78
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,1891.18
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,1110.54
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600.0,9.0,2.0,200.0,1595.03
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2623.42
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,1424.08
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,1456.05
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0,2369.71
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,3939.17
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3550.27
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,1927.4
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,3789.65
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,1517.48
